Station,Services,Div,Line,Opened,Borough,Neighborhood,Ridership (2019),Rank,
Avenue U,N,BMT,Sea Beach Line,"June 22, 1915",Brooklyn,Gravesend,"1,019,104",359,
Avenue X,F,IND,Culver Line,"May 10, 1919",Brooklyn,Gravesend,"758,700",388,
Bay 50th Street,D,BMT,West End Line,"July 21, 1917",Brooklyn,Gravesend,"821,873",381,
Bay Parkway,F,IND,Culver Line,"March 16, 1919",Brooklyn,Midwood,"362,802",414,
Bay Parkway,N,BMT,Sea Beach Line,"June 22, 1915",Brooklyn,Bensonhurst,"2,071,452",229,
Bay Parkway,D,BMT,West End Line,"July 29, 1916",Brooklyn,Bensonhurst,"2,446,673",196,
Bay Ridge Avenue,R,BMT,Fourth Avenue Line,"January 15, 1916",Brooklyn,Bay Ridge,"2,354,120",200,
Bay Ridge–95th Street,R,BMT,Fourth Avenue Line,"October 31, 1925",Brooklyn,Bay Ridge,"1,743,441",269,
Baychester Avenue,5,IRT,Dyre Avenue Line,"May 15, 1941",The Bronx,Eastchester,"1,094,872",346,
Beach 25th Street,A,IND,Rockaway Line,"June 28, 1956",Queens,Bayswater,"517,164",410,
Beach 36th Street,A,IND,Rockaway Line,"June 28, 1956",Queens,Edgemere,"292,305",418,
Beach 44th Street,A,IND,Rockaway Line,"June 28, 1956",Queens,Edgemere,"215,701",421,
Beach 60th Street,A,IND,Rockaway Line,"June 28, 1956",Queens,Arverne,"623,826",399,
Beach 67th Street,A,IND,Rockaway Line,"June 28, 1956",Queens,Arverne,"718,008",392,
Beach 90th Street,S,IND,Rockaway Line,"June 28, 1956",Queens,Rockaway Beach,"348,771",416,
Beach 98th Street,S,IND,Rockaway Line,"June 28, 1956",Queens,Rockaway Beach,"164,130",422,
Beach 105th Street,S,IND,Rockaway Line,"June 28, 1956",Queens,Rockaway Park,"88,439",424,
Bedford Avenue,L,BMT,Carnarsie Line,"June 30, 1924",Brooklyn,Williamsburg,"7,836,366",45,
Bedford Park Boulevard,D,IND,Concourse Line,"July 1, 1933",The Bronx,Bedford Park,"2,143,375",219,
Bedford Park Boulevard–Lehman College,4,IRT,Jerome Avenue Line,"April 15, 1918",The Bronx,Bedford Park,"1,538,253",291,
Bedford–Nostrand Avenues,G,IND,Crosstown Line,"July 1, 1937",Brooklyn,Bedford–Stuyvesant,"2,795,387",175,
Bergen Street,F G,IND,Culver Line,"March 20, 1933",Brooklyn,Boerum Hill,"3,577,496",141,
Bergen Street,2 3,IRT,Eastern Parkway Line,"October 10, 1920",Brooklyn,Park Slope,"1,208,319",330,
Beverley Road,Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Flatbush,"1,048,249",352,
Beverly Road,2 5,IRT,Nostrand Avenue Line,"August 23, 1920",Brooklyn,East Flatbush,"1,284,232",326,
Borough Hall/Court Street,R 2 3 4 5,BMT,Fourth Avenue Line,"August 1, 1920",Brooklyn,Downtown,"10,135,722",28,
,2 3,IRT,Broadway–Seventh Avenue Line,"April 15, 1919",,,,,
,4 5,IRT,Eastern Parkway Line,"January 9, 1908",,,,,
Bowery,J,BMT,Nassau Street Line,"August 4, 1913",Manhattan,Lower East Side,"1,325,244",322,
Bowling Green,4 5,IRT,Lexington Avenue Line,"July 10, 1905",Manhattan,Financial District,"8,362,034",39,
Briarwood,F,IND,Queens Boulevard Line,"April 24, 1937",Queens,Briarwood,"1,501,152",298,
Brighton Beach†,B Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Brighton Beach,"3,745,994",133,
Broad Channel†,A S,IND,Rockaway Line,"June 28, 1956",Queens,Broad Channel,"90,358",423,
