MANHATTAN,BRONX,BROOKLYN,QUEENS,STATEN_ISLAND,PERCENT_WHITE,MEDIAN_INCOME,POPULATION_DENSITY,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,LAND_SQUARE_FEET,SALE_PRICE,SERVICES_COUNT,COOP,CONDO,FAMILY_DWELLING,ELEVATOR
1,0,0,0,0,80.2643966734662,136208.0,77436.0,33.0,22.0,108625,1970000,17.0,0,0,0,1
1,0,0,0,0,80.2643966734662,136208.0,77436.0,35.0,0.0,4938,14500000,17.0,0,0,0,1
1,0,0,0,0,80.2643966734662,136208.0,77436.0,12.0,0.0,2050,6750000,17.0,0,0,0,1
1,0,0,0,0,80.2643966734662,136208.0,77436.0,68.0,1.0,12925,555000,17.0,0,0,0,1
1,0,0,0,0,80.2643966734662,136208.0,77436.0,5.0,1.0,936,3900000,17.0,1,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,5.0,4556,225000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,77.0,10775,170000000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,9.0,9656,121225000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,10.0,18491,203775000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,15.0,4937,3900000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,1.0,2767,2800000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,22.0,7.0,9862,17500000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,12.0,5712,16250000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,2.0,8188,31000000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,2.0,13800,95200000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,2.0,12261,63500000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,1.0,14318,132100000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,1.0,1760,4000000,17.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,6.0,5.0,4876,5200000,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,6.0,5.0,4876,3100000,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,6.0,5.0,4876,4415000,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,11.0,12.0,9200,6750000,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,11.0,12.0,9200,2750000,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,9.0,11.0,4600,3232742,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,9.0,11.0,4600,1950000,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,9.0,11.0,4600,4998000,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,5.0,2392,1750000,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,2150,16350000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,2144,13000000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,2611,20750000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,2397,19000000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,2349,13650000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,2663,17250000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,2.0,1.0,2168,3500000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,14.0,3.0,2850,15000000,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,9.0,1.0,1983,6000000,0.0,0,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,6.0,1.0,2054,11000000,0.0,1,0,0,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,1.0,635,12475000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,1.0,555,12475000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,2478,14940000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,1.0,0.0,2151,11000000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,2.0,1.0,505,12475000,0.0,0,0,1,0
1,0,0,0,0,80.2643966734662,136208.0,77436.0,2.0,1.0,1457,4250000,0.0,0,0,1,0
